filepath,true_label,predicted_label,confidence
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/12375.jpg,0,1,0.5043559074401855
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/16832.png,0,1,0.5010181069374084
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/19705.png,0,1,0.505070686340332
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/17292.png,0,1,0.5004268288612366
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/10263.jpg,0,1,0.5008969306945801
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15543.png,0,1,0.5036426782608032
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15000.png,0,1,0.5039253830909729
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/25636.png,0,1,0.5029948353767395
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/1586.jpg,0,1,0.5088484287261963
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/18493.png,0,1,0.5002201795578003
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/17939.png,0,1,0.5044335722923279
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15073.png,0,1,0.5000249147415161
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22523.png,0,1,0.509697675704956
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/23936.png,0,1,0.5032440423965454
/kaggle/input/dalle-recognition-dataset/real/3082.jpg,1,0,0.5059561729431152
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22204.png,0,1,0.5008989572525024
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15579.png,0,1,0.5014742016792297
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/14792.png,0,1,0.5071393847465515
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/18492.png,0,1,0.5019030570983887
/kaggle/input/dalle-recognition-dataset/real/2639.jpg,1,0,0.5010097622871399
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/23908.png,0,1,0.5000073909759521
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/17469.png,0,1,0.5042935013771057
/kaggle/input/dalle-recognition-dataset/real/421.jpg,1,0,0.5026838183403015
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/19102.png,0,1,0.5039684176445007
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/20045.png,0,1,0.5028377771377563
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/10257.jpg,0,1,0.5059011578559875
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/19744.png,0,1,0.5055898427963257
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/17128.png,0,1,0.5009570121765137
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/2472.jpg,0,1,0.5044421553611755
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/3290.jpg,0,1,0.5004194378852844
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22869.png,0,1,0.5056120157241821
