filepath,key,label,prediction,source,confidence
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/12375.jpg,12375.jpg|0,0,1,failure_cases.csv,0.5004722476005554
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/16832.png,16832.png|0,0,1,failure_cases.csv,0.5002346038818359
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/19705.png,19705.png|0,0,1,failure_cases.csv,0.5005697011947632
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15543.png,15543.png|0,0,1,failure_cases.csv,0.5028097629547119
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/12137.jpg,12137.jpg|0,0,1,failure_cases.csv,0.5019140839576721
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/17876.png,17876.png|0,0,1,failure_cases.csv,0.5028040409088135
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22085.png,22085.png|0,0,1,failure_cases.csv,0.5070026516914368
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22523.png,22523.png|0,0,1,failure_cases.csv,0.5009669661521912
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/23936.png,23936.png|0,0,1,failure_cases.csv,0.5021215081214905
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/12792.jpg,12792.jpg|0,0,1,failure_cases.csv,0.501991331577301
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22204.png,22204.png|0,0,1,failure_cases.csv,0.5053125023841858
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/18492.png,18492.png|0,0,1,failure_cases.csv,0.5045318007469177
/kaggle/input/dalle-recognition-dataset/real/2639.jpg,2639.jpg|1,1,0,failure_cases.csv,0.5042181015014648
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/25533.png,25533.png|0,0,1,failure_cases.csv,0.5043243765830994
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/18833.png,18833.png|0,0,1,failure_cases.csv,0.5014965534210205
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/12473.jpg,12473.jpg|0,0,1,failure_cases.csv,0.5040420293807983
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/12107.jpg,12107.jpg|0,0,1,failure_cases.csv,0.5028992295265198
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/20045.png,20045.png|0,0,1,failure_cases.csv,0.5017614364624023
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/19744.png,19744.png|0,0,1,failure_cases.csv,0.5012540817260742
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/17128.png,17128.png|0,0,1,failure_cases.csv,0.5014927387237549
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/2472.jpg,2472.jpg|0,0,1,failure_cases.csv,0.5005600452423096
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/1860.jpg,1860.jpg|0,0,1,failure_cases.csv,0.5018153190612793
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15272.png,15272.png|0,0,1,failure_cases.csv,0.5009751915931702
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/22162.png,22162.png|0,0,1,failure_cases.csv,0.5047426223754883
/kaggle/input/dalle-recognition-dataset/real/534.jpg,534.jpg|1,1,0,failure_cases.csv,0.5000242590904236
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/11861.jpg,11861.jpg|0,0,1,failure_cases.csv,0.5010432600975037
/kaggle/input/dalle-recognition-dataset/fakeV2/fake-v2/15094.png,15094.png|0,0,1,failure_cases.csv,0.5018230080604553
